Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
8.31763771102683e+006	(-8.26646322365359e+001dB,-8.08708859197835e+001°)
8.70963589956093e+006	(-8.22699655081134e+001dB,-8.13096872852483e+001°)
9.12010839355923e+006	(-8.18746282842999e+001dB,-8.17333281847456e+001°)
9.54992586021450e+006	(-8.14786957524602e+001dB,-8.21424373287415e+001°)
1.00000000000001e+007	(-8.10822355794515e+001dB,-8.25376266682891e+001°)
1.04712854805091e+007	(-8.06853083877324e+001dB,-8.29194923435300e+001°)
1.09647819614320e+007	(-8.02879682371494e+001dB,-8.32886156452790e+001°)
1.14815362149690e+007	(-7.98902631052417e+001dB,-8.36455639389002e+001°)
1.20226443461743e+007	(-7.94922353591929e+001dB,-8.39908915129990e+001°)
1.25892541179419e+007	(-7.90939222130999e+001dB,-8.43251403288688e+001°)
1.31825673855643e+007	(-7.86953561647805e+001dB,-8.46488406529799e+001°)
1.38038426460291e+007	(-7.82965654072536e+001dB,-8.49625115647445e+001°)
1.44543977074595e+007	(-7.78975742107249e+001dB,-8.52666613364567e+001°)
1.51356124843623e+007	(-7.74984032717576e+001dB,-8.55617876872608e+001°)
1.58489319246114e+007	(-7.70990700269158e+001dB,-8.58483779122335e+001°)
1.65958690743759e+007	(-7.66995889287282e+001dB,-8.61269088909599e+001°)
1.73780082874940e+007	(-7.62999716821194e+001dB,-8.63978469760165e+001°)
1.81970085861001e+007	(-7.59002274396221e+001dB,-8.66616477614317e+001°)
1.90546071796328e+007	(-7.55003629535077e+001dB,-8.69187557265166e+001°)
1.99526231496891e+007	(-7.51003826826197e+001dB,-8.71696037467281e+001°)
2.08929613085407e+007	(-7.47002888509420e+001dB,-8.74146124575710e+001°)
2.18776162394959e+007	(-7.43000814538547e+001dB,-8.76541894515348e+001°)
2.29086765276781e+007	(-7.38997582064960e+001dB,-8.78887282813031e+001°)
2.39883291901953e+007	(-7.34993144265444e+001dB,-8.81186072338625e+001°)
2.51188643150962e+007	(-7.30987428409050e+001dB,-8.83441878304602e+001°)
2.63026799189542e+007	(-7.26980333020304e+001dB,-8.85658129970459e+001°)
2.75422870333821e+007	(-7.22971723945596e+001dB,-8.87838048368360e+001°)
2.88403150312665e+007	(-7.18961429061636e+001dB,-8.89984619206979e+001°)
3.01995172040207e+007	(-7.14949231273164e+001dB,-8.92100559959990e+001°)
3.16227766016843e+007	(-7.10934859321326e+001dB,-8.94188279923770e+001°)
3.31131121482597e+007	(-7.06917975750818e+001dB,-8.96249831857249e+001°)
3.46736850452537e+007	(-7.02898161142196e+001dB,-8.98286853567820e+001°)
3.63078054770107e+007	(-6.98874893375269e+001dB,-9.00300497680398e+001°)
3.80189396320568e+007	(-6.94847520204790e+001dB,-9.02291347749172e+001°)
3.98107170553504e+007	(-6.90815222732189e+001dB,-9.04259319104729e+001°)
4.16869383470342e+007	(-6.86776966342693e+001dB,-9.06203543622273e+001°)
4.36515832240173e+007	(-6.82731434186097e+001dB,-9.08122239512807e+001°)
4.57088189614883e+007	(-6.78676936065991e+001dB,-9.10012571373668e+001°)
4.78630092322647e+007	(-6.74611282286615e+001dB,-9.11870514147067e+001°)
5.01187233627281e+007	(-6.70531607006095e+001dB,-9.13690751297127e+001°)
5.24807460249782e+007	(-6.66434118079727e+001dB,-9.15466670243736e+001°)
5.49540873857634e+007	(-6.62313738975284e+001dB,-9.17190582221672e+001°)
5.75439937337167e+007	(-6.58163591450121e+001dB,-9.18854420067545e+001°)
6.02559586074368e+007	(-6.53974243762720e+001dB,-9.20451418101971e+001°)
6.30957344480204e+007	(-6.49732619079393e+001dB,-9.21979779604937e+001°)
6.60693448007608e+007	(-6.45420433489868e+001dB,-9.23450344061233e+001°)
6.91830970918949e+007	(-6.41012059048821e+001dB,-9.24902274232051e+001°)
7.24435960075003e+007	(-6.36471941699550e+001dB,-9.26434657972941e+001°)
7.58577575029197e+007	(-6.31752625408815e+001dB,-9.28268680220474e+001°)
7.94328234724296e+007	(-6.26797340082738e+001dB,-9.30863365484535e+001°)
8.31763771102686e+007	(-6.21558746811657e+001dB,-9.35102034184464e+001°)
8.70963589956096e+007	(-6.16059431673224e+001dB,-9.42477067957725e+001°)
9.12010839355926e+007	(-6.10518944163951e+001dB,-9.54866866027980e+001°)
9.54992586021453e+007	(-6.05462146292342e+001dB,-9.73057772183842e+001°)
1.00000000000002e+008	(-6.01486218337628e+001dB,-9.94398387829712e+001°)
1.04712854805092e+008	(-5.98656691399046e+001dB,-1.01352889524631e+002°)
1.09647819614321e+008	(-5.96411817426616e+001dB,-1.02705558159800e+002°)
1.14815362149690e+008	(-5.94158974851299e+001dB,-1.03539377343259e+002°)
1.20226443461744e+008	(-5.91624176432464e+001dB,-1.04055119516319e+002°)
1.25892541179419e+008	(-5.88772227688947e+001dB,-1.04424202074357e+002°)
1.31825673855643e+008	(-5.85657841580945e+001dB,-1.04748783543598e+002°)
1.38038426460291e+008	(-5.82348703803865e+001dB,-1.05080656071610e+002°)
1.44543977074595e+008	(-5.78901211893180e+001dB,-1.05443538615052e+002°)
1.51356124843624e+008	(-5.75357211964856e+001dB,-1.05847123850602e+002°)
1.58489319246114e+008	(-5.71746577697661e+001dB,-1.06294508440579e+002°)
1.65958690743759e+008	(-5.68090476501791e+001dB,-1.06785859370167e+002°)
1.73780082874941e+008	(-5.64404008038308e+001dB,-1.07320160583713e+002°)
1.81970085861002e+008	(-5.60698087962593e+001dB,-1.07896019858816e+002°)
1.90546071796328e+008	(-5.56980732985153e+001dB,-1.08512023296368e+002°)
1.99526231496892e+008	(-5.53257922887517e+001dB,-1.09166874515907e+002°)
2.08929613085408e+008	(-5.49534175434400e+001dB,-1.09859433289431e+002°)
2.18776162394960e+008	(-5.45812928440606e+001dB,-1.10588709149042e+002°)
2.29086765276782e+008	(-5.42096791687019e+001dB,-1.11353836855861e+002°)
2.39883291901954e+008	(-5.38387709780616e+001dB,-1.12154046726815e+002°)
2.51188643150963e+008	(-5.34687062851476e+001dB,-1.12988636101147e+002°)
2.63026799189543e+008	(-5.30995722794994e+001dB,-1.13856945035210e+002°)
