time	V(bf_source)	V(samplecap)
2.853107199629303e-002	-7.487951251601184e-002	-9.429378560074139e-002
2.863107199629303e-002	-7.486140233136977e-002	-9.427378560074140e-002
2.873107199629303e-002	-7.484329214661906e-002	-9.425378560074139e-002
2.883107199629303e-002	-7.482518196173520e-002	-9.423378560074139e-002
2.893107199629303e-002	-7.480707177718857e-002	-9.421378560074140e-002
2.903107199629303e-002	-7.478896159259675e-002	-9.419378560074139e-002
2.913107199629303e-002	-7.477085140782185e-002	-9.417378560074140e-002
2.923107199629303e-002	-7.475274122343076e-002	-9.415378560074139e-002
2.933107199629303e-002	-7.473463103914906e-002	-9.413378560074140e-002
2.943107199629303e-002	-7.471652085478081e-002	-9.411378560074139e-002
2.953107199629303e-002	-7.469841067090349e-002	-9.409378560074140e-002
2.963107199629303e-002	-7.468030048738378e-002	-9.407378560074139e-002
2.973107199629303e-002	-7.466219030357066e-002	-9.405378560074139e-002
2.983107199629303e-002	-7.464408011960948e-002	-9.403378560074140e-002
2.993107199629303e-002	-7.462596993570402e-002	-9.401378560074139e-002
3.003107199629303e-002	-7.460785975180431e-002	-9.399378560074140e-002
3.013107199629303e-002	-7.458974956827215e-002	-9.397378560074139e-002
3.023107199629303e-002	-7.457163938496519e-002	-9.395378560074140e-002
3.033107199629303e-002	-7.455352920146977e-002	-9.393378560074139e-002
3.043107199629303e-002	-7.453541901797610e-002	-9.391378560074140e-002
3.053107199629303e-002	-7.451730883476417e-002	-9.389378560074140e-002
3.063107199629303e-002	-7.449919865170725e-002	-9.387378560074139e-002
3.073107199629303e-002	-7.448108846858803e-002	-9.385378560074140e-002
3.083107199629303e-002	-7.446297828563032e-002	-9.383378560074139e-002
3.093107199629303e-002	-7.444486810291422e-002	-9.381378560074140e-002
3.103107199629303e-002	-7.442675792011420e-002	-9.379378560074139e-002
3.113107199629303e-002	-7.440864773730072e-002	-9.377378560074140e-002
3.123107199629303e-002	-7.439053755482651e-002	-9.375378560074139e-002
3.133107199629303e-002	-7.437242737256980e-002	-9.373378560074139e-002
3.143107199629303e-002	-7.435431719008574e-002	-9.371378560074140e-002
3.153107199629303e-002	-7.433620700740498e-002	-9.369378560074139e-002
3.163107199629303e-002	-7.431809682492986e-002	-9.367378560074140e-002
3.173107199629303e-002	-7.429998664282714e-002	-9.365378560074139e-002
3.183107199629303e-002	-7.428187646091636e-002	-9.363378560074140e-002
3.193107199629303e-002	-7.426376627875873e-002	-9.361378560074139e-002
3.203107199629303e-002	-7.424565609646769e-002	-9.359378560074140e-002
3.213107199629303e-002	-7.422754591465020e-002	-9.357378560074139e-002
3.223107199629303e-002	-7.420943573315199e-002	-9.355378560074139e-002
3.233107199629303e-002	-7.419132555150745e-002	-9.353378560074140e-002
3.243107199629303e-002	-7.417321536981683e-002	-9.351378560074139e-002
3.253107199629303e-002	-7.415510518816366e-002	-9.349378560074140e-002
3.263107199629303e-002	-7.413699500647591e-002	-9.347378560074139e-002
3.273107199629303e-002	-7.411888482505102e-002	-9.345378560074140e-002
3.283107199629303e-002	-7.410077464391941e-002	-9.343378560074139e-002
3.293107199629303e-002	-7.408266446280001e-002	-9.341378560074140e-002
3.303107199629303e-002	-7.406455428188387e-002	-9.339378560074139e-002
3.313107199629303e-002	-7.404644410097526e-002	-9.337378560074139e-002
