Freq.	(V(n005)/I(R5)-50)/(V(n005)/I(R5)+50)
4.36515832240175e+008	(-4.90724899823124e+001dB,1.46525029839932e+002°)
4.57088189614885e+008	(-4.87010277893731e+001dB,1.41140040538345e+002°)
4.78630092322648e+008	(-4.83261111407964e+001dB,1.35526475093647e+002°)
5.01187233627283e+008	(-4.79468718241881e+001dB,1.29672602169786e+002°)
5.24807460249784e+008	(-4.75623828894429e+001dB,1.23565349868556e+002°)
5.49540873857636e+008	(-4.71716786591738e+001dB,1.17190148729050e+002°)
5.75439937337169e+008	(-4.67737815448856e+001dB,1.10530787545764e+002°)
6.02559586074371e+008	(-4.63677359272083e+001dB,1.03569294513781e+002°)
6.30957344480207e+008	(-4.59526488347031e+001dB,9.62858580733486e+001°)
6.60693448007610e+008	(-4.55277364736543e+001dB,8.86588027749317e+001°)
6.91830970918951e+008	(-4.50923748524354e+001dB,8.06646350269235e+001°)
7.24435960075006e+008	(-4.46461518733140e+001dB,7.22781712605534e+001°)
7.58577575029200e+008	(-4.41889174305312e+001dB,6.34727565169718e+001°)
7.94328234724299e+008	(-4.37208273825558e+001dB,5.42205746235272e+001°)
8.31763771102689e+008	(-4.32423769005906e+001dB,4.44930421817762e+001°)
8.70963589956100e+008	(-4.27544187764194e+001dB,3.42612680982778e+001°)
9.12010839355930e+008	(-4.22581629247561e+001dB,2.34965492862432e+001°)
9.54992586021457e+008	(-4.17551546274520e+001dB,1.21708627695231e+001°)
1.00000000000002e+009	(-4.12472310708097e+001dB,2.57306433230226e-001°)
1.04712854805092e+009	(-4.07364583631119e+001dB,-1.22695628520978e+001°)
1.09647819614321e+009	(-4.02250542876330e+001dB,-2.54335417889758e+001°)
1.14815362149691e+009	(-3.97153051549775e+001dB,-3.92567799453699e+001°)
1.20226443461744e+009	(-3.92094876604865e+001dB,-5.37599799575308e+001°)
1.25892541179420e+009	(-3.87098078592206e+001dB,-6.89627819654627e+001°)
1.31825673855644e+009	(-3.82183684779487e+001dB,-8.48842794861288e+001°)
1.38038426460292e+009	(-3.77371722906820e+001dB,-1.01543579232649e+002°)
1.44543977074596e+009	(-3.72681632272611e+001dB,-1.18960292747685e+002°)
1.51356124843624e+009	(-3.68132989898271e+001dB,-1.37154841634649e+002°)
1.58489319246115e+009	(-3.63746405833910e+001dB,-1.56148476528958e+002°)
1.65958690743760e+009	(-3.59544370741653e+001dB,-1.75962954139691e+002°)
1.73780082874942e+009	(-3.55551798730482e+001dB,1.63380117147424e+002°)
1.81970085861003e+009	(-3.51796014505348e+001dB,1.41860173414186e+002°)
1.90546071796329e+009	(-3.48305996637871e+001dB,1.19458664799590e+002°)
1.99526231496893e+009	(-3.45110810148819e+001dB,9.61598701219450e+001°)
2.08929613085409e+009	(-3.42237330029884e+001dB,7.19513070370790e+001°)
2.18776162394960e+009	(-3.39707542349984e+001dB,4.68235243456602e+001°)
2.29086765276783e+009	(-3.37535861833994e+001dB,2.07691631095662e+001°)
2.39883291901955e+009	(-3.35726967913233e+001dB,-6.21867721451769e+000°)
2.51188643150964e+009	(-3.34274596143901e+001dB,-3.41485708596491e+001°)
2.63026799189544e+009	(-3.33161532285704e+001dB,-6.30330795065611e+001°)
2.75422870333823e+009	(-3.32360796870257e+001dB,-9.28908946185045e+001°)
2.88403150312667e+009	(-3.31837763948204e+001dB,-1.23748513224417e+002°)
3.01995172040209e+009	(-3.31552804990415e+001dB,-1.55641278683973e+002°)
3.16227766016845e+009	(-3.31464020829545e+001dB,1.71386235199299e+002°)
