time	V(bf_source)
4.943107199629303e-002	-5.816000938275879e-003
4.953107199629303e-002	-5.812378968166234e-003
4.963107199629303e-002	-5.808756998141022e-003
4.973107199629303e-002	-5.805135028336780e-003
4.983107199629303e-002	-5.801513058538893e-003
4.993107199629303e-002	-5.797891088688966e-003
5.003107199629303e-002	-5.794269118763731e-003
5.013107199629303e-002	-5.790647148755349e-003
5.023107199629303e-002	-5.787025178849493e-003
5.033107199629303e-002	-5.783403208799178e-003
5.043107199629303e-002	-5.779781238587168e-003
5.053107199629303e-002	-5.776159268647258e-003
5.063107199629303e-002	-5.772537298856430e-003
5.073107199629303e-002	-5.768915328977394e-003
5.083107199629303e-002	-5.765293359125573e-003
5.093107199629303e-002	-5.761671389425759e-003
5.103107199629303e-002	-5.758049419804765e-003
5.113107199629303e-002	-5.754427450006879e-003
5.123107199629303e-002	-5.750805480074015e-003
5.133107199629303e-002	-5.747183510198291e-003
5.143107199629303e-002	-5.743561540354554e-003
5.153107199629303e-002	-5.739939570535313e-003
5.163107199629303e-002	-5.736317600696955e-003
5.173107199629303e-002	-5.732695630846400e-003
5.183107199629303e-002	-5.729073660996955e-003
5.193107199629303e-002	-5.725451691029831e-003
5.203107199629303e-002	-5.721829721139151e-003
5.213107199629303e-002	-5.718207751354426e-003
5.223107199629303e-002	-5.714585781413491e-003
5.233107199629303e-002	-5.710963811723240e-003
5.243107199629303e-002	-5.707341842179295e-003
5.253107199629303e-002	-5.703719872233812e-003
5.263107199629303e-002	-5.700097902311407e-003
5.273107199629303e-002	-5.696475932573255e-003
5.283107199629303e-002	-5.692853962959362e-003
5.293107199629303e-002	-5.689231993379671e-003
5.303107199629303e-002	-5.685610023470788e-003
5.313107199629303e-002	-5.681988053513052e-003
5.323107199629303e-002	-5.678366083764671e-003
5.333107199629303e-002	-5.674744113981492e-003
5.343107199629303e-002	-5.671122144094620e-003
5.353107199629303e-002	-5.667500174324018e-003
5.363107199629303e-002	-5.663878204558083e-003
5.373107199629303e-002	-5.660256234587493e-003
5.383107199629303e-002	-5.656634264842805e-003
5.393107199629303e-002	-5.653012295176911e-003
5.403107199629303e-002	-5.649390325183709e-003
5.413107199629303e-002	-5.645768355481242e-003
5.423107199629303e-002	-5.642146386075127e-003
5.433107199629303e-002	-5.638524416347835e-003
5.443107199629303e-002	-5.634902446495114e-003
5.453107199629303e-002	-5.631280476781942e-003
5.463107199629303e-002	-5.627658507060884e-003
5.473107199629303e-002	-5.624036537224987e-003
5.483107199629303e-002	-5.620414567445273e-003
5.493107199629303e-002	-5.616792597976616e-003
5.503107199629303e-002	-5.613170628431723e-003
5.513107199629303e-002	-5.609548658528053e-003
5.523107199629303e-002	-5.605926688679101e-003
5.533107199629303e-002	-5.602304718873533e-003
5.543107199629303e-002	-5.598682749040982e-003
5.553107199629303e-002	-5.595060779623479e-003
5.563107199629303e-002	-5.591438810202368e-003
5.573107199629303e-002	-5.587816840222557e-003
5.583107199629303e-002	-5.584194870383651e-003
5.593107199629303e-002	-5.580572900857938e-003
5.603107199629303e-002	-5.576950931149703e-003
5.613107199629303e-002	-5.573328961328086e-003
5.623107199629303e-002	-5.569706991629283e-003
5.633107199629303e-002	-5.566085022195744e-003
5.643107199629303e-002	-5.562463052757869e-003
5.653107199629303e-002	-5.558841083047625e-003
5.663107199629303e-002	-5.555219113311592e-003
5.673107199629303e-002	-5.551597143759427e-003
5.683107199629303e-002	-5.547975174183336e-003
5.693107199629303e-002	-5.544353204266796e-003
5.703107199629303e-002	-5.540731234539886e-003
5.713107199629303e-002	-5.537109265203263e-003
5.723107199629303e-002	-5.533487295612698e-003
5.733107199629303e-002	-5.529865325824784e-003
5.743107199629303e-002	-5.526243356049452e-003
5.753107199629303e-002	-5.522621386462975e-003
5.763107199629303e-002	-5.518999417088843e-003
5.773107199629303e-002	-5.515377447468954e-003
5.783107199629303e-002	-5.511755477776947e-003
5.793107199629303e-002	-5.508133508245978e-003
5.803107199629303e-002	-5.504511538603410e-003
5.813107199629303e-002	-5.500889568998114e-003
5.823107199629303e-002	-5.497267599556199e-003
5.833107199629303e-002	-5.493645630095956e-003
5.843107199629303e-002	-5.490023660559344e-003
5.853107199629303e-002	-5.486401690909751e-003
5.863107199629303e-002	-5.482779721173829e-003
5.873107199629303e-002	-5.479157751355017e-003
5.883107199629303e-002	-5.475535781623932e-003
