Type:          average
Points:        1350
Count:         512
XInc:          7.40741E-013
XOrg:          6.0964500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        1.00000E-009
XOffset:       6.0964500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          09:51:14:28
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1368204E-008, -5.6631E-003
6.1368944E-008, -5.9980E-003
6.1369685E-008, -6.1790E-003
6.1370426E-008, -6.5321E-003
6.1371167E-008, -6.7493E-003
6.1371907E-008, -7.0752E-003
6.1372648E-008, -7.3558E-003
6.1373389E-008, -7.6454E-003
6.1374130E-008, -7.9985E-003
6.1374870E-008, -8.3424E-003
6.1375611E-008, -8.7407E-003
6.1376352E-008, -9.1209E-003
6.1377093E-008, -9.4558E-003
6.1377833E-008, -9.7183E-003
6.1378574E-008, -1.00985E-002
6.1379315E-008, -1.03882E-002
6.1380056E-008, -1.09041E-002
6.1380796E-008, -1.12572E-002
6.1381537E-008, -1.16373E-002
6.1382278E-008, -1.21895E-002
6.1383019E-008, -1.26331E-002
6.1383759E-008, -1.30947E-002
6.1384500E-008, -1.34839E-002
6.1385241E-008, -1.40361E-002
6.1385981E-008, -1.46064E-002
6.1386722E-008, -1.50228E-002
6.1387463E-008, -1.56202E-002
6.1388204E-008, -1.61000E-002
6.1388944E-008, -1.66521E-002
6.1389685E-008, -1.71228E-002
6.1390426E-008, -1.76297E-002
6.1391167E-008, -1.84354E-002
6.1391907E-008, -1.91324E-002
6.1392648E-008, -1.96212E-002
6.1393389E-008, -2.02910E-002
6.1394130E-008, -2.09518E-002
6.1394870E-008, -2.16035E-002
6.1395611E-008, -2.23367E-002
6.1396352E-008, -2.29704E-002
6.1397093E-008, -2.36402E-002
6.1397833E-008, -2.46178E-002
6.1398574E-008, -2.52967E-002
6.1399315E-008, -2.60842E-002
6.1400056E-008, -2.69261E-002
6.1400796E-008, -2.75959E-002
6.1401537E-008, -2.84559E-002
6.1402278E-008, -2.91981E-002
6.1403019E-008, -3.01667E-002
6.1403759E-008, -3.09270E-002
6.1404500E-008, -3.21128E-002
6.1405241E-008, -3.27917E-002
6.1405981E-008, -3.38870E-002
6.1406722E-008, -3.47198E-002
6.1407463E-008, -3.56793E-002
6.1408204E-008, -3.64487E-002
6.1408944E-008, -3.76526E-002
6.1409685E-008, -3.88022E-002
6.1410426E-008, -3.97889E-002
6.1411167E-008, -4.08842E-002
6.1411907E-008, -4.20428E-002
6.1412648E-008, -4.29118E-002
6.1413389E-008, -4.43149E-002
6.1414130E-008, -4.52744E-002
6.1414870E-008, -4.63244E-002
6.1415611E-008, -4.74016E-002
6.1416352E-008, -4.86145E-002
6.1417093E-008, -5.00447E-002
6.1417833E-008, -5.09409E-002
6.1418574E-008, -5.23168E-002
6.1419315E-008, -5.36474E-002
6.1420056E-008, -5.49056E-002
6.1420796E-008, -5.60914E-002
6.1421537E-008, -5.75216E-002
6.1422278E-008, -5.86712E-002
6.1423019E-008, -5.96851E-002
6.1423759E-008, -6.13687E-002
6.1424500E-008, -6.25183E-002
6.1425241E-008, -6.38308E-002
6.1425981E-008, -6.55869E-002
6.1426722E-008, -6.65374E-002
6.1427463E-008, -6.76779E-002
6.1428204E-008, -6.94612E-002
6.1428944E-008, -7.09909E-002
6.1429685E-008, -7.21948E-002
6.1430426E-008, -7.34259E-002
6.1431167E-008, -7.51548E-002
6.1431907E-008, -7.63768E-002
6.1432648E-008, -7.76713E-002
6.1433389E-008, -7.90562E-002
6.1434130E-008, -8.07670E-002
6.1434870E-008, -8.20343E-002
6.1435611E-008, -8.36546E-002
6.1436352E-008, -8.49852E-002
6.1437093E-008, -8.65603E-002
6.1437833E-008, -8.77823E-002
6.1438574E-008, -8.91310E-002
6.1439315E-008, -9.04526E-002
6.1440056E-008, -9.16113E-002
6.1440796E-008, -9.35212E-002
6.1441537E-008, -9.50510E-002
6.1442278E-008, -9.65446E-002
6.1443019E-008, -9.77213E-002
6.1443759E-008, -9.91696E-002
6.1444500E-008, -1.007266E-001
6.1445241E-008, -1.019757E-001
6.1445981E-008, -1.031796E-001
6.1446722E-008, -1.047366E-001
6.1447463E-008, -1.064564E-001
6.1448204E-008, -1.071263E-001
6.1448944E-008, -1.091358E-001
6.1449685E-008, -1.100501E-001
6.1450426E-008, -1.115165E-001
6.1451167E-008, -1.125755E-001
6.1451907E-008, -1.143045E-001
6.1452648E-008, -1.157256E-001
6.1453389E-008, -1.166580E-001
6.1454130E-008, -1.185408E-001
6.1454870E-008, -1.196361E-001
6.1455611E-008, -1.210482E-001
6.1456352E-008, -1.223698E-001
6.1457093E-008, -1.235918E-001
6.1457833E-008, -1.245513E-001
6.1458574E-008, -1.262078E-001
6.1459315E-008, -1.265336E-001
6.1460056E-008, -1.284979E-001
6.1460796E-008, -1.294484E-001
6.1461537E-008, -1.307971E-001
6.1462278E-008, -1.320101E-001
6.1463019E-008, -1.327433E-001
6.1463759E-008, -1.341644E-001
6.1464500E-008, -1.351601E-001
6.1465241E-008, -1.365360E-001
6.1465981E-008, -1.375861E-001
6.1466722E-008, -1.384188E-001
6.1467463E-008, -1.398400E-001
6.1468204E-008, -1.407090E-001
6.1468944E-008, -1.416685E-001
6.1469685E-008, -1.425646E-001
6.1470426E-008, -1.437233E-001
6.1471167E-008, -1.448005E-001
6.1471907E-008, -1.454703E-001
6.1472648E-008, -1.466652E-001
6.1473389E-008, -1.474165E-001
6.1474130E-008, -1.483036E-001
6.1474870E-008, -1.492178E-001
6.1475611E-008, -1.497428E-001
6.1476352E-008, -1.510554E-001
6.1477093E-008, -1.518519E-001
6.1477833E-008, -1.525308E-001
6.1478574E-008, -1.535265E-001
6.1479315E-008, -1.541330E-001
6.1480056E-008, -1.547304E-001
6.1480796E-008, -1.555542E-001
6.1481537E-008, -1.563960E-001
6.1482278E-008, -1.569753E-001
6.1483019E-008, -1.576723E-001
6.1483759E-008, -1.584055E-001
6.1484500E-008, -1.589939E-001
6.1485241E-008, -1.595823E-001
6.1485981E-008, -1.604694E-001
6.1486722E-008, -1.608767E-001
6.1487463E-008, -1.615013E-001
6.1488204E-008, -1.621259E-001
6.1488944E-008, -1.625151E-001
6.1489685E-008, -1.631125E-001
6.1490426E-008, -1.636828E-001
6.1491167E-008, -1.642893E-001
6.1491907E-008, -1.645608E-001
6.1492648E-008, -1.651492E-001
6.1493389E-008, -1.656109E-001
6.1494130E-008, -1.659639E-001
6.1494870E-008, -1.665251E-001
6.1495611E-008, -1.669053E-001
6.1496352E-008, -1.672945E-001
